date, value
2020-07-22 09:12, 10537
2020-07-22 05:42, 10487
2020-07-21 12:37, 10484
2020-07-21 12:37, 10484
2020-07-21 12:37, 10484
2020-07-21 10:38, 9499
2020-07-21 10:38, 9499
2020-07-21 10:38, 9499
2020-07-21 09:40, 8641
2020-07-21 08:30, 10484
2020-07-17 19:19, 10533
2020-07-17 12:02, 10484
2020-07-17 08:39, 10526
2020-07-16 15:09, 10484
2020-07-16 09:55, 10520
2020-07-15 19:58, 10480
2020-07-14 16:14, 10479
2020-07-14 14:08, 10479
2020-07-10 14:36, 10517
2020-07-09 11:38, 10509
2020-07-09 09:04, 10504
2020-07-08 20:10, 10504
2020-07-07 12:07, 10499
2020-07-07 10:34, 8641
2020-07-07 09:37, 10492
2020-07-07 09:04, 10492
2020-07-07 08:36, 10492
2020-07-06 08:51, 10467
2020-07-02 09:39, 9493
2020-07-01 13:01, 10474
2020-07-01 10:49, 9492
2020-06-30 16:39, 9492
2020-06-30 15:45, 9490
2020-06-30 09:51, 10450
2020-06-29 23:35, 10450
2020-06-29 08:47, 10463
2020-06-26 22:23, 10463
2020-06-25 22:18, 10458
2020-06-25 10:33, 10457
2020-06-24 10:06, 10456
2020-06-23 10:32, 10456
2020-06-23 06:01, 9488
2020-06-22 19:14, 10449
2020-06-19 20:43, 10461
2020-06-19 09:35, 9487
2020-06-18 14:55, 10445
2020-06-18 09:29, 10433
2020-06-18 00:26, 10433
2020-06-16 11:50, 10444
2020-06-16 09:42, 10444
2020-06-16 09:41, 10444
2020-06-16 09:41, 10444
2020-06-16 09:32, 10444
2020-06-15 21:17, 10444
2020-06-15 16:22, 8640
2020-06-15 14:34, 10433
2020-06-15 07:19, 10422
2020-06-12 17:50, 10421
2020-06-12 04:08, 10418
2020-06-11 19:26, 10417
2020-06-11 16:36, 10417
2020-06-11 09:14, 8640
2020-06-11 06:56, 10417
2020-06-11 05:06, 10418
2020-06-11 00:40, 10415
2020-06-10 23:44, 10415
2020-06-10 18:55, 10414
2020-06-10 18:21, 10414
2020-06-10 16:13, 10411
2020-06-10 16:04, 10411
2020-06-10 16:04, 10411
2020-06-10 09:23, 10412
2020-06-10 09:21, 9483
2020-06-10 09:21, 9483
2020-06-10 08:39, 8640
2020-06-10 08:22, 8640
2020-06-09 14:27, 9482
2020-06-09 12:50, 9482
2020-06-09 10:02, 9482
2020-06-08 20:00, 10401
2020-06-08 17:50, 8640
2020-06-08 16:41, 9481
2020-06-08 13:40, 8640
2020-06-07 18:57, 10397
2020-06-07 08:54, 9481
2020-06-06 07:59, 10393
2020-06-05 23:21, 9481
2020-06-05 22:36, 10389
2020-06-05 14:25, 10388
2020-06-05 12:51, 10388
2020-06-05 12:16, 10389
2020-06-05 03:08, 10388
2020-06-04 15:10, 10388
2020-06-03 16:40, 10382
2020-06-03 07:06, 9481
2020-06-02 17:59, 10376
2020-06-01 22:08, 10373
2020-06-01 15:45, 10374
2020-05-28 12:25, 10370
2020-05-27 19:08, 10368
2020-05-26 16:12, 10365
2020-05-25 12:39, 9471
2020-05-21 22:28, 10350
2020-05-20 21:35, 9469
2020-05-18 11:22, 10348
2020-05-15 00:55, 10348
2020-05-14 07:46, 10348
2020-05-13 23:55, 10339
2020-05-13 16:46, 10339
2020-05-13 07:16, 10338
2020-05-12 18:59, 10331
2020-05-12 12:03, 10328
